sentence_id,sentence
13," كما أن النظر إلى البلد باعتباره ساحة لمواجهة إيران في المقام الأول ، يؤدي إلى الاعتقاد بأن الحوثيين ليسوا سوى وكيل إيراني بدلاً من كونهم مجموعة محلية لها تاريخ محلي ومصالح محلية ، "" وأما بالنسبة لصانعي السياسات الأميركيين ، فلعل الأهم هنا هو أنه إذا نظرت الولايات المتحدة إلى اليمن كملحق لعلاقتها مع السعودية وحسب ، فإنها تضع نفسها أمام مجازفة حقيقية وهي دعم أهداف السياسات السعودية بدلاً من دعم أهداف السياسات الامريكية ."
14," وبالرغم من أنهما تتشاركان مصالح متداخلة في الشرق الأوسط ، "" فإن الولايات المتحدة والسعودية لا تتشاركا مجموعة مشتركة من القيم أو الأهداف الأساسية ."
15," انهارت الدولة اليمنية وتفكك البلد بعد قرابة خمس سنوات من الحرب ، "" وبالتالي فإن عودة اليمن كدولة واحدة غير مرجح ، "" وبدلاً من التعامل مع يمن واحد في المستقبل ، سوف يتعين على الولايات المتحدة التعامل مع أكثر من يمن واحد ."
16," واقع فوضوي كهذا سيجعل السياسة أكثر صعوبة ، وبالتالي فإن فهماً مفصلاً لما يحدث على الأرض يصبح مهما أكثر من أي وقت مضى ."
17," ولكن ليس من الممكن تحقيق أي من هذين الأمرين من الرياض – حيث تتواجد السفارة الأمريكية في اليمن وما تبقى من الحكومة اليمنية المعترف بها دولياً خلال معظم السنوات الخمس الماضية ."
18,"إن الاعتماد على السعودية كدولة تلعب دور المرشد السياسي حول ما يتعلق بجارتها الجنوبية لن يؤدي سوى إلى فهم مشوه لما يحدث في اليمن ، "" وبالتالي يتعين على الولايات المتحدة أن ترى اليمن بوضوح ومن تلقاء نفسها وذلك لأسباب كثيرة تتعدد ما بين مكافحة الإرهاب والأمن القومي إلى الاستقرار الإقليمي والأمن البحري ."
19," يجب على الولايات المتحدة أن تنسق الاستراتيجية مع السعودية والجهات الفاعلة الإقليمية الأخرى حيث تستطيع ، ولكن عليها أن تحرص على ألا تكون إجراءاتها منساقة وراء المصالح السعودية بعد اليوم ."
20," الولايات المتحدة بحاجة إلى سياسة تجاه اليمن ، وليس إلى سياسة سعودية تشمل اليمن ."
21," في البداية : الولايات المتحدة واليمن "" هذا لن يكون من السهل تحقيقه ."
22," الولايات المتحدة ، ومنذ انخراطها في شؤون الشرق الأوسط ، نادراً ما نظرت إلى اليمن على أنه أكثر من امتداد لعلاقتها مع السعودية ."
23," هذا لن يكون من السهل تحقيقه ."
24,"اعترفت الولايات المتحدة بالمملكة المتوكلية اليمنية عام 1946 ."
25," ولكن لم يكن لديها بعثة دبلوماسية ولا سفير في اليمن خلال الـ13 عاما التي تلت هذا الاعتراف ، "" إذ أوكل للسفير الأمريكي لدى السعودية مهام ثنائية ، وخدم كسفير لدى اليمن بالإضافة إلى عمله كسفير في السعودية ."
26," ليس مهما كيف رأت الولايات المتحدة اليمن خلال معظم فترة الحرب الباردة ، "" فقد كانت اليمن حينها في حالة ركود ومقسمة وغير مهمة ، "" فقد حوّلت الولايات المتحدة البعثة الدبلوماسية التي فتحتها في تعز عام 1959 إلى سفارة عام 1963 وانتقلت إلى صنعاء عام 1966 ، "" ولكن بعدها بعام وبعد حرب يونيو 1967 بين إسرائيل وعدد من الدول العربية ، قطعت الجمهورية العربية اليمنية الناشئة العلاقات الدبلوماسية مع الولايات المتحدة ، "" ولم يتم استعادة العلاقات حتى 1972 حين عينت الولايات المتحدة أخيرًا أول سفير مقيم لها في اليمن ."
27," كانت العلاقة بين الولايات المتحدة واليمن الشمالي في حالة صعود وهبوط ، ولكن علاقتها باليمن الجنوبي كانت أسوأ ."
28," اعترفت إدارة جونسون بجمهورية اليمن الجنوبية الشعبية في عام 1967 وأنشأت سفارة في عدن ، "" ولكن قبل أن تتمكن إدارة جونسون أو نيكسون من تسمية سفير هناك ، قطع اليمن الجنوبي العلاقات في أكتوبر 1969 ."
29,"[ 2 ] "" ولم يتم استعادتها أبدًا ."
30," بحلول عام 1990 ، وبفضل انهيار الاتحاد السوفيتي إلى حد كبير والاعتقاد بوجود حقول نفط كبيرة على طول الحدود الشمالية الجنوبية ، توحد اليمن ، "" وسرعان ما تحول المقعد “ العربي ” في مجلس الأمن التابع للأمم المتحدة الذي كان من المفترض أن يكون هدية ترحيبية للبلد الموحد حديثًا إلى لعنة ، "" إذ غزا العراق الكويت في 2 أغسطس 1990 ، ووجد الرئيس اليمني آنذاك علي عبد الله صالح نفسه في وضع لا يحسد عليه ، "" حيث كان صالح معجبا بصدام حسين ويعتبره صديقًا له ، لدرجة أنه تبنى أسلوب حكمه واتخذه نموذجا لحكم اليمن ."
31," ولكن السعودية والكويت والولايات المتحدة كانت هي الجهات المانحة الرئيسية التي ساعدت الاقتصاد اليمني في الاستمرار بالوقوف على قدميه ."
32," حاول صالح أن يساوم الطرفين ، وأمر سفيره لدى الأمم المتحدة بالامتناع عن التصويت على قرار مجلس الأمن الأولي الذي يدين الغزو ، "" وخلال عيد الشكر عام 1990 ، قام الرئيس جورج بوش الأب أثناء زيارته للقوات الأمريكية التي كانت قد حشدت في السعودية ، بإرسال وزير خارجيته جيمس بيكر إلى صنعاء لمحاولة إقناع صالح بدعم قرار جديد للأمم المتحدة يهدد باللجوء إلى القوة ضد صدام حسين ."
33," أراد بوش جبهة موحدة وتصويت بالإجماع في مجلس الأمن لمواجهة أول نزاع يشهده العالم بعد انتهاء الحرب الباردة ، "" ولكن صالح لم يتزحزح عن رأيه ."
34," بعد أسابيع قليلة في نيويورك ، أخبر بيكر سفير اليمن لدى الأمم المتحدة أن التصويت ضد قرار طرد صدام من الكويت “ سيكون أغلى تصويت بـ “ لا ” يقوم به على الإطلاق ” ."
35,"[ "" وفعلا كان الأمر كذلك ."
36," قامت السعودية بالفعل بطرد حوالي مليون عامل يمني مغترب من أراضيها ، وقطع مساعدات تقدر بالملايين ، وكذلك فعلت الولايات المتحدة والكويت ."
37," لم يتعافَ اليمن أبدا بعد ذلك ."
38," وفقدت عملة اليمن نصف قيمتها بغضون أشهر ."
39," وبدلاً من الصمود والنجاح كدولة ديمقراطية موحدة مؤخراً في عالم ما بعد الحرب الباردة ، وجد اليمن نفسه معزولا دبلوماسيًا وفي خضم أزمة اقتصادية ."
40," وسوف يمر أكثر من 20 عامًا قبل أن يزور وزير خارجية أمريكي اليمن مرة أخرى ."
41," الاستعانة بمصادر خارجية لعملية الانتقال الديمقراطي في اليمن ، وإيكال المهمة إلى السعودية "" حينما زارت وزيرة الخارجية هي هيلاري كلينتون في يناير 2011 ، كانت اليمن مختلفة تمامًا عن تلك التي زارها جيمس بيكر قبل عقدين من الزمن ."
42," الحرب الأهلية التي اندلعت عام 1994 كانت قصيرة ولكنها دموية ، وكادت أن تقضي على أي ذرة أمل في الوحدة بين الشمال والجنوب ، "" كما حولت هجمات 11 سبتمبر اليمن إلى خط مواجهة في “ الحرب الجديدة على الإرهاب ” ."
43,"وفي هذه الأثناء ، كان الفساد المتوطن ، ونقص عائدات النفط الموعودة ، وارتفاع معدل المواليد قد جعل البلاد تواجه صعوبات اقتصادية شديدة ."
44," وزارت كلينتون اليمن خلال تلك الفترة القصيرة من الوقت عندما أشعل محمد بوعزيزي احتجاجات الربيع العربي في تونس وعندما قام المحتجون في مصر بتأجيجها أكثر وتحويلها إلى شعلة إقليمية ."
45," بعد أسابيع من زيارة كلينتون ، واجهت اليمن نفس العاصفة ."
46," الاحتجاجات الأسبوعية يوم الجمعة تحولت إلى مظاهرات يومية يدعو فيها الناس في الشارع إلى تنحي الرئيس صالح الذي كان في السلطة منذ عام 1978 ."
47," توصلت السعودية من خلال العمل في مجلس التعاون الخليجي إلى ما تم تسميته في النهاية ب ” المبادرة الخليجية “ ."
48," تضمنت المبادرة الخليجية في جوهرها تسوية بسيطة : تنحي صالح عن السلطة وفي مقابل ذلك يحصل على الحصانة التامة عن جميع الجرائم التي قد يكون ارتكبها ."
49," المشكلة الوحيدة بخصوص هذه التسوية هو أنها لم تعجب أحدا ."
50," كره المتظاهرون فكرة أن صالح سيكون حراً ، خاصة بعد أن قتلت قواته نحو 50 متظاهراً في ساحة بصنعاء في مارس 2011 ."
51," أما صالح فكان حذرًا ، إذ وافق على توقيع الصفقة في أبريل ثم مرة أخرى في مايو 2011 ليتراجع عن التوقيع في اللحظة الأخيرة ."
52," في يونيو 2011 ، وقع انفجار في مسجد ملحق بدار الرئاسة حيث كان صالح يؤدي الصلاة ."
53,"من المرجح أن الهدف كان اغتيال صالح ولكن الانفجار أدى إلى مقتل بعض حراسه الشخصيين وإصابته بجروح خطيرة ."
54," أمضى صالح أشهرًا ليتعافى ، أولاً في السعودية ولاحقاً في الولايات المتحدة قبل أن يوافق أخيرًا على التنحي في نوفمبر 2011 ، "" ويتم انتخاب هادي بديلا له وكان سفير الولايات المتحدة لدى اليمن جيرالد فايرستاين يقف إلى جانب الأمين العام لمجلس التعاون لدول الخليج العربية عبد اللطيف الزياني عندما وقع صالح على وثيقة التنحي عن الرئاسة ."
55," كان مجرى الأمور الملحوظ مفيداً وذا دلالة : لقد كانت صفقة سعودية تحظى بدعم كل من الولايات المتحدة والأمم المتحدة ."
56," لم يكن لدى الولايات المتحدة المجهدة بسبب الاحتجاجات ، ولاحقا بسبب الفترة الانتقالية في مصر ما بعد مبارك والصراع العسكري في ليبيا ، الطاقة السياسية ولا الاهتمام الدبلوماسي للتعامل مع اليمن ، "" فكانت سعيدة بترك السعودية تتولى زمام الأمور ."
57," ولكن ما وافقت عليه أمريكا في الواقع كان السماح لملكية وراثية بإدارة ما كان من المفترض أن يكون انتقالاً ديمقراطياً في اليمن ."
58," لم تسر الأمور على ما يرام ، ولكن لم يكن هذا مفاجئا ."
59," كوفئ اليمنيون ، بمن فيهم المتظاهرون الذين شجعوا التغيير ، باستفتاء في فبراير 2012 يشمل مرشحا واحدا ويسمح فقط بالتصويت “ بنعم ” ."
60," تم تنصيب عبدربه منصور هادي ، الذي خدم كنائب للرئيس صالح لفترة طويلة ، كرئيس انتقالي لما كان من المفترض أن يكون لمدة عامين ."
61," ذهب صالح إلى منزله “ كمواطن عادي ” لكتابة مذكراته كما قال حينها ."
62," في فبراير 2014 ، ومع استمرار اليمن بمواجهة صعوبات في معرفة كيفية المضي قدماً بعد رئاسة صالح ، تم تمديد فترة هادي “ الانتقالية ” لسنة إضافية ."
63," بعد سبعة أشهر ، وقبل أن يتسنى التمديد له للمرة الثانية ، زحف الحوثيون نحو صنعاء ، وبعدها وضعوا هادي رهن الإقامة الجبرية ، وشهدوا استقالته من الرئاسة قبل أن يهرب إلى عدن ويتراجع عن الاستقالة ، ويمكث في المنفى بالسعودية ."
64," الانضمام إلى السعودية في حرب حمقاء "" في 26 مارس 2015 ( بتوقيت الرياض ) - أي بعد يوم واحد من تلقي رسالة من الرئيس هادي يطلب فيها مساعدة عسكرية لطرد الحوثيين من صنعاء [ 11 ] – أعلنت السعودية عن بدء “ عمليات عسكرية في اليمن “ ."
65," وكان مجرى الأمور الملحوظ ذا دلالة ، كما كان الحال حين عقدت المبادرة الخليجية قبل أكثر من ثلاث سنوات ."
66," ولكن بدلاً من الإعلان عن بداية الحرب من الرياض ، المجاورة لليمن ، قررت السعودية الإعلان عنها من واشنطن ، على بعد آلاف الأميال من خطوط المواجهة ."
67," وفي حوالي الساعة 7 : 30 مساءً في واشنطن ( أي حوالي الساعة 2 : 30 صباحًا بتوقيت الرياض ) ، أطل السفير السعودي لدى الولايات المتحدة عادل الجبير على المنصة ليعلن أن الحرب قد بدأت ."
68," المعنى الضمني للمكان والرسول كان واضحاً : ستخوض السعودية حربًا في اليمن بدعم وموافقة الولايات المتحدة ."
69," في غضون ساعات من المؤتمر الصحفي ، أصدرت إدارة أوباما بيانًا قالت فيه أن الرئيس “ أذن بتوفير الدعم اللوجستي والاستخباراتي للعمليات العسكرية التي تقودها دول مجلس التعاون الخليجي ” ."
70," وأضاف البيان أن الولايات المتحدة قد قامت أيضاً بإنشاء “ خلية تخطيط مشتركة ” لتنسيق دعمها العسكري والاستخباراتي ."
71," وبغض النظر عن التحفظات التي كانت لدى المسؤولين الأمريكيين – ولا بد من أنه كان هناك تحفظات باعتبار أن السعوديين قدروا متفائلين أن العملية العسكرية سوف تستغرق ستة أسابيع فقط لطرد الحوثيين من صنعاء – فلقد تم تجاهلها ."
72," خلال فترة ولاية أوباما الرئاسية الثانية ، صبت الولايات المتحدة تركيزها على الصفقة النووية مع إيران ، ما أدى إلى نفور كل من إسرائيل والسعودية ، "" وبالتالي ، رأت الولايات المتحدة في اليمن طريقا سهلا لتبدأ في إصلاح تلك العلاقة وتظهر للسعودية أنها تهتم بأمنها ."
73," كانت الولايات المتحدة قد أدانت استيلاء الحوثيين على صنعاء ، ولكنها لم تكن مستعدة لفعل أي شيء لإعادة هادي إلى السلطة من خارج قرارات الأمم المتحدة التي كانت شديدة اللهجة ."
74," مرة أخرى ، وعندما كان الأمر يتعلق باليمن ، كانت الولايات المتحدة سعيدة بالسماح للسعودية بأخذ زمام المبادرة ."
75," ولكن على عكس المبادرة الخليجية ، التي أثرت في الغالب على اليمن ، كانت هناك تكلفة مباشرة على الولايات المتحدة نتيجة دعمها لقرار السعودية خوض حرب في اليمن ."
76,"فحصلت الولايات المتحدة على أسوأ ما في الأمرين على عدة أصعدة ، "" إذ ألزمت نفسها بحرب لا تستطيع الفوز بها ومكروهة بشكل متزايد ، من دون أن يكون لها أي رأي في كيفية قيادة هذه الحرب ."
77," بدلاً من كبح المخاوف السعودية في عام 2015 من أن الحوثيين كانوا “ حزب الله الجنوب ” ، في إشارة إلى حزب الله ، الميليشيا والحزب السياسي المدعوم من إيران في لبنان ، سارت الولايات المتحدة في هذا التوصيف وأذعنت لفكرة أن الحوثيين كانوا وكلاء إيران ."
78," ومن المفارقة ، أن الحرب أدت إلى ما كان من المفترض أن تمنعه ، "" وبدلاً من اجتثاث النفوذ الإيراني في شبه الجزيرة العربية ، قربت الحرب التي قادتها السعودية على اليمن الحوثيين من إيران ."
79," وفي أغسطس 2019 ، عين الحوثيون سفيراً لدى إيران ، واعترفت إيران بالحوثيين كسلطة حكم شرعية ، وكانت أول دولة تقوم بذلك ."
80," وبدلاً من تقديم المشورة والإشارة إلى أن الحوثيين كانوا سيئين في الحكم وأن انهيارهم محتمل في النهاية بسبب عدد أعدائهم محليًا ، انساقت الولايات المتحدة وراء اندفاع السعودية إلى الحرب ."
81," سمحت حملة القصف اللاحقة للحوثيين بالسيطرة على الحكم إذ أن قلة في الشمال كانت مستعدة لكي تخاطر وتطعن في حكم الحوثيين على الأرض في الوقت الذي يتعرضون فيه للقصف من الجو ."
82," وبدلاً من سحب دعمها بعد أن اتضح أن السعودية تفتقر إلى النية والمهارة للقيام بحملة جوية ناجحة ، استخدمت إدارة ترامب حق النقض ضد قرار للكونغرس يسعى لإنهاء المشاركة الأمريكية في الحرب ."
83," حرصت كل من إدارتي أوباما وترامب على القول أنه بالرغم من دعم الولايات المتحدة للتحالف الذي تقوده السعودية ، فإن القوات الأمريكية ليست مشاركة في أي “ عمل عسكري مباشر “ ."
84," وهذا صحيح بصورةٍ محدودة ، لكنه غير ذي صلة سياسيًا ."
85," فالحقيقة هي أن حرب السعودية في اليمن ليست قادرة على الاستمرار بدون دعم أمريكي ."
86," ومع أنها غير منخرطة في عمليات قتال مباشرة ، فإن الولايات المتحدة تسهل وتمكّن استمرار الحرب التي تقول إنها تريد إنهاءها ."
87," في سبتمبر 2019 ، قال فريق الخبراء البارزين المعني باليمن والتابع للأمم المتحدة أن هذا الدعم ، إلى جانب مبيعات الأسلحة للسعودية ، قد يجعل الولايات المتحدة – وكذلك بريطانيا وفرنسا – متواطئة في جرائم حرب ."
88," كانت الحرب في اليمن كارثة بالنسبة للسعودية والولايات المتحدة ، وخاصة بالنسبة للمدنيين اليمنيين ."
89," اليمن يتمزق ، "" والقرار السعودي بالذهاب إلى الحرب في أوائل عام 2015 لم يخلق هذه الانقسامات إذ أنها كانت موجودة ولكنها تفاقمت بشكل على الأرجح يصعب إصلاحه بعد أكثر من أربع سنوات من الحرب المستمرة ."
90," التفكير في القاعدة عند رؤية إسلاميين "" بالنسبة للولايات المتحدة ، فإن أكثر خطأ هي عرضةً لارتكابه يتعلق بتحديد من هو الإرهابي ومن ليس إرهابيا ."
91," فلسنوات ، أعطى الرئيس اليمني علي عبد الله صالح دروساً في إعادة تقديم أعدائه المحليين كإرهابيين دوليين ، "" وقام التحالف الذي تقوده السعودية ، وخاصة الإمارات العربية المتحدة ، بعمل مماثل مؤخراً ."
92," وبعكس الولايات المتحدة ، فإن الإمارات العربية المتحدة تؤمن بأن جماعة الإخوان المسلمين مرادفة للقاعدة وتتصرف على هذا الأساس ، "" ولكن تعريف نفس العدو بطريقة مختلفة له عواقب خطيرة وحقيقية للغاية ."
93," وهذا صحيح تحديداً عندما تعتمد عليها الولايات المتحدة للحصول على معلومات استخبارية كما تفعل في اليمن ."
94," ولعل أبرز حالة هي حالة خالد العرادة ."
95," خالد العرادة هو شقيق محافظ مأرب سلطان العرادة ."
96,"الأهم من ذلك بالنسبة للإمارات العربية المتحدة هو أنه عضو في حزب الإصلاح ، وهو تجمع سياسي في اليمن يضم عددًا من شخصيات الإخوان المسلمين ."
97," في مايو 2017 ، فرضت الولايات المتحدة عقوبات على خالد العرادة ، وقالت حينها إنه “ مسؤول رفيع المستوى في القاعدة في جزيرة العرب في اليمن “ و “ قائد أحد معسكرات القاعدة في جزيرة العرب ” "" في ذلك الوقت ، كنت خبيرا في الجماعات المسلحة ضمن فريق الخبراء البارزين المعني باليمن والتابع للأمم المتحدة ."
98," ولعدة أشهر ظلت الإمارات العربية المتحدة ترسل لفريقنا ملفات حول أشخاص في حزب الإصلاح في اليمن ، مدعية أنهم أعضاء في تنظيم القاعدة في جزيرة العرب ، وتحثنا على التحقيق بشأنهم واقتراح أسمائهم على الأمم المتحدة لفرض عقوبات عليهم ."
99," ولكن كل مرة حققت في أحد هؤلاء الأفراد ، لم يكن أي منهم عضواً في القاعدة في جزيرة العرب ."
100,"كل ما في الأمر أنهم شخصيات في حزب الإصلاح – شخصيات لم تكن الإمارات العربية المتحدة تحبها ."
101," بعد أن فرضت الولايات المتحدة العقوبات على العرادة ، استعرضت الأدلة المتاحة مجدداً ، ولم أجد شيئًا من شأنه أن يشير إلى أنه كان عضوًا بارزًا في القاعدة في جزيرة العرب أو أنه كان يدير معسكرًا للقاعدة في جزيرة العرب ."
102," في الواقع ، فإن الأدلة التي وجدتها – صورا له مع نائب الرئيس اليمني علي محسن الأحمر ومع مسؤولين عسكريين سعوديين في مأرب – تشير بقوة إلى أنه كان شخصية في حزب الإصلاح وكان يدير معسكرًا لميليشيا تدعم حكومة الرئيس هادي ."
103," بالطبع ، قد يكون هناك أدلة أخرى غير علنية بحوزة الولايات المتحدة تربط بين العرادة والقاعدة في جزيرة العرب ، ولكن الأدلة المتاحة للعلن لا تشير إلى هذا الرابط ."
104," تشير المقابلات اللاحقة في مأرب أيضًا إلى حقيقة أن العرادة ، الذي يصفه الكثيرون بأنه “ الذراع الأيمن للأحمر في مأرب ” هو عضو في حزب الإصلاح ولكن ليس بالضرورة أن يكون عضوا في القاعدة في جزيرة العرب ."
105," هذا التفريق لا يهم بالنسبة للإمارات العربية المتحدة ، ولكنه يجب أن يهم الولايات المتحدة ."
106," على الولايات المتحدة أن تكون حذرة للغاية في كيفية تعريفها للإرهابيين في اليمن ، وعليها التأكد من أنها لا تخلط بين القاعدة في جزيرة العرب والمجموعات الإسلامية الأخرى ."
107," توسيع الدائرة كثيراً وتعريف القاعدة ضمن نِطاقات واسعة للغاية سيجعل الولايات المتحدة تجد نفسها في حرب لا يمكن أن تفوز بها أبدًا ."
108," القاعدة في جزيرة العرب هي منظمة إرهابية ، لكن حزب الإصلاح ليس كذلك ."
109," المضي قدماً "" هناك حالة من الفوضى والارتباك في اليمن في الوقت الحالي ، وهذا الوضع سوف يتفاقم في المستقبل حين تنقسم البلاد إلى أجزاء مختلفة ."
110," ستضطر الولايات المتحدة إلى التعامل مع الجهات الفاعلة من غير الدول – سواء أكانت ميليشيات أو قبائل أو جماعات أخرى ، تسيطر على الأرض – أكثر من ذي قبل ."
111," الولايات المتحدة ليست مهيأة للنجاح في مثل هذه البيئة ."
112," فالولايات المتحدة تفضل العمل مع الحكومات الوطنية التي ، على الأقل ، تطالب بحقها بالسلطة حتى لو كانت خيالًا على أرض الواقع إلى حد كبير ."
113," هذا أحد أسباب تردد الولايات المتحدة في الانتقال من حكومة هادي الغير الفعالة والغير ذات الصلة إلى درجة كبيرة ."
114," هذه الأجواء ، ستغرى صانعي السياسة في الولايات المتحدة للاستسلام والإعلان أن اليمن في حالة فوضى لا يمكن إصلاحها ، وبالتالي ستعتمد الولايات المتحدة على الشركاء الإقليميين كالسعودية والإمارات العربية المتحدة أكثر من قبل لتفسير وشرح ما يحدث ."
115," سيكون ذلك خطأ ."
116," وستتباعد المصالح الأمريكية عن المصالح السعودية والإماراتية في اليمن على نحو متزايد ."
117," جعلت تصرفات السعودية والإمارات العربية المتحدة على مدى السنوات الأربع الماضية الوضع في اليمن أسوأ ."
118," غياب المشورة الأمريكية وضغوط أمريكية من الخارج سيؤدي على الأرجح إلى الاستمرار في هذا الاتجاه ."
119,"وبالتالي ستصبح مشاكل اليمن الأمنية قضايا إقليمية ودولية بشكل متزايد ."
120," سوف يظهر خطر القاعدة ، الذي تم احتواؤه في الغالب ، مجدداً مع ازدياد حدة تجزئة اليمن ."
121," سيصبح الأمن البحري مهددا وبالتالي ستزداد تدفقات اللاجئين إلى الخارج ."
122," كل هذه التحديات سوف تتطلب سياسة ذكية ودقيقة ، ولكن النهج الأمريكي تجاه اليمن لم يتسم لا بالذكاء ولا بالدقة ."
123," ولفترة طويلة جدًا ، عندما تعلق الأمر باليمن ، عمل صانعو السياسات الأمريكيون وفقاً لمعلومات قليلة جدًا ."
124," يمكن معالجة هذه الثغرات في المعلومات ، ولو جزئياً ، عن طريق تحفيز المعرفة المحلية والعميقة لدى المسؤولين الأمريكيين ."
125," فبدلاً من الإجراءات الإلزامية التي تعيد ترتيب الدبلوماسيين والمسؤولين من بلد إلى آخر ومن منطقة إلى أخرى ، إذ يمكن للولايات المتحدة أن تبدأ في صقل ومكافأة البصيرة العميقة التي تنجم عن الإلمام والأقدمية ."
126," في الوقت نفسه ، وحتى في البيئات غير الآمنة نسبيًا تستطيع الولايات المتحدة الانتقال من تجنب المخاطر إلى إدارة المخاطر ."
127," هذا لا يعني وضع الدبلوماسيين في مواقف خطرة ، ولكنه يعني منح الدبلوماسيين المرونة لأداء وظائفهم وإدراك أن وظائفهم ستأخذهم في كثير من الأحيان إلى خارج جدران السفارة السميكة ."
128," لا تشكل أي من هذه الخطوات حلا سحريا سيؤدي إلى سياسة أفضل ، ولكن كل خطوة هي خطوة أساسية ستسمح للولايات المتحدة بفهم اليمن والتعامل معه بشكل أفضل حتى في الوقت الذي ينهار فيه البلد ."
129," قد لا تفهم الولايات المتحدة دائمًا ما يحدث على الأرض في اليمن ، ولكن النظر إلى البلد كدولة لها تاريخها الخاص سيساهم بقطع شوط طويل نحو إنتاج سياسة أكثر نجاحًا ."
130," على الولايات المتحدة إعادة بورما والعراق إلى قائمة تجنيد الأطفال "" تيلرسون يقوّض القانون الأمريكي بإزالة المنتهِكين "" ( واشنطن ) – قالت "" هيومن رايتس ووتش "" اليوم إن على وزير الخارجية الأمريكي ريكس تيلرسون إعادة بورما والعراق إلى القائمة الأمريكية للحكومات التي تستخدم الجنود الأطفال "" أفادت وكالة "" رويترز "" أن تيلرسون رفض توصيات مسؤولي وزارة الخارجية وكبار الدبلوماسيين الأمريكيين ، فقرّر إزالة البلدين من القائمة التي ستُعلن في 27 يونيو / حزيران 2017 "" واصلت الأمم المتحدة ومنظمات غير حكومية ، منها هيومن رايتس ووتش ، تقديم تقارير عن استخدام الأطفال في القوات النظامية أو الميليشيات في بورما والعراق "" وثّقت الأمم المتحدة تجنيد الأطفال في القوات المسلحة في بورما عام 2016 ، وفي الأسبوع الماضي فقط سرّح الجيش البورمي عشرات الجنود الأطفال "" وثّقت هيومن رايتس ووتش تجنيد الأطفال في الميليشيات المرتبطة بالحكومة العراقية "" ذكر تقرير لوزارة الخارجية في مارس / آذار مقتل 12 طفلا على الأقل يحاربون مع ميليشيات تابعة للحكومة في العراق عام 2016 "" قالت جو بيكر ، مديرة المرافعة في قسم حقوق الطفل في هيومن رايتس ووتش : "" إزالة بورما والعراق من القائمة ، مع استمرارهما في استخدام الجنود الأطفال ، يتناقض مع القانون الأمريكي ويلحق الأذى بالأطفال الذين لا يزالون مجندين "" "" "" يبدو أن وزير الخارجية تيلرسون يعتقد أن القائمة تخضع للحسابات السياسية خلف الكواليس ، بدلا من الحقائق على الأرض والقانون الأمريكي ."
